Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
USDT,,TRANSFER_IN,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,20.00000000000000000000,20.00000000000000000000,52.14296840000000000000,--,2025-07-01 10:58:12
USDT,SANDUSDT,TRADE,BUY,898.00000000000000000000,0.00000000000000000000,0.24900000000000000000,0.00000000000000000000,-0.12298110000000000000,-13.30050000000000000000,-13.42348110000000000000,32.14296840000000000000,CLOSE,2025-07-01 10:49:58
USDT,SANDUSDT,TRADE,SELL,96.00000000000000000000,-898.00000000000000000000,0.24520000000000000000,0.00000000000000000000,-0.00470784000000000000,0.00000000000000000000,-0.00470784000000000000,45.56644950000000000000,OPEN,2025-07-01 10:49:28
USDT,SANDUSDT,TRADE,SELL,96.00000000000000000000,-802.00000000000000000000,0.24520000000000000000,0.00000000000000000000,-0.00470784000000000000,0.00000000000000000000,-0.00470784000000000000,45.57115734000000000000,OPEN,2025-07-01 10:49:28
USDT,SANDUSDT,TRADE,SELL,96.00000000000000000000,-706.00000000000000000000,0.24520000000000000000,0.00000000000000000000,-0.00470784000000000000,0.00000000000000000000,-0.00470784000000000000,45.57586518000000000000,OPEN,2025-07-01 10:49:28
USDT,SANDUSDT,TRADE,SELL,97.00000000000000000000,-610.00000000000000000000,0.24510000000000000000,0.00000000000000000000,-0.00475494000000000000,0.00000000000000000000,-0.00475494000000000000,45.58057302000000000000,OPEN,2025-07-01 10:49:28
USDT,SANDUSDT,TRADE,SELL,97.00000000000000000000,-513.00000000000000000000,0.24200000000000000000,0.00000000000000000000,-0.00469480000000000000,0.00000000000000000000,-0.00469480000000000000,45.58532796000000000000,OPEN,2025-07-01 10:49:28
USDT,SANDUSDT,TRADE,SELL,104.00000000000000000000,-416.00000000000000000000,0.22300000000000000000,0.00000000000000000000,-0.00463840000000000000,0.00000000000000000000,-0.00463840000000000000,45.59002276000000000000,OPEN,2025-07-01 10:46:40
USDT,SANDUSDT,TRADE,SELL,104.00000000000000000000,-312.00000000000000000000,0.22300000000000000000,0.00000000000000000000,-0.00463840000000000000,0.00000000000000000000,-0.00463840000000000000,45.59466116000000000000,OPEN,2025-07-01 10:46:40
USDT,SANDUSDT,TRADE,SELL,104.00000000000000000000,-208.00000000000000000000,0.22280000000000000000,0.00000000000000000000,-0.00463424000000000000,0.00000000000000000000,-0.00463424000000000000,45.59929956000000000000,OPEN,2025-07-01 10:46:40
USDT,SANDUSDT,TRADE,SELL,104.00000000000000000000,-104.00000000000000000000,0.22000000000000000000,0.00000000000000000000,-0.01258400000000000000,0.00000000000000000000,-0.01258400000000000000,45.60393380000000000000,OPEN,2025-07-01 10:46:40
USDT,SANDUSDT,TRADE,BUY,104.00000000000000000000,0.00000000000000000000,0.22030000000000000000,0.00000000000000000000,-0.01260116000000000000,-0.03120000000000000000,-0.04380116000000000000,45.61651780000000000000,CLOSE,2025-07-01 10:46:31
USDT,SANDUSDT,TRADE,SELL,104.00000000000000000000,-104.00000000000000000000,0.22000000000000000000,0.00000000000000000000,-0.01258400000000000000,0.00000000000000000000,-0.01258400000000000000,45.66031896000000000000,OPEN,2025-07-01 10:46:30
USDT,SANDUSDT,TRADE,BUY,104.00000000000000000000,0.00000000000000000000,0.22010000000000000000,0.00000000000000000000,-0.01258972000000000000,-0.01040000000000000000,-0.02298972000000000000,45.67290296000000000000,CLOSE,2025-07-01 10:46:22
USDT,SANDUSDT,TRADE,SELL,104.00000000000000000000,-104.00000000000000000000,0.22000000000000000000,0.00000000000000000000,-0.01258400000000000000,0.00000000000000000000,-0.01258400000000000000,45.69589268000000000000,OPEN,2025-07-01 10:46:21
USDT,SANDUSDT,TRADE,BUY,97.00000000000000000000,0.00000000000000000000,0.22010000000000000000,0.00000000000000000000,-0.01174234000000000000,1.53844032000000000000,1.52669798000000000000,45.70847668000000000000,CLOSE,2025-07-01 10:46:14
USDT,SANDUSDT,TRADE,BUY,94.00000000000000000000,-97.00000000000000000000,0.22970000000000000000,0.00000000000000000000,-0.00431836000000000000,0.58845968000000000000,0.58414132000000000000,44.18177870000000000000,CLOSE,2025-07-01 10:45:47
USDT,SANDUSDT,TRADE,SELL,97.00000000000000000000,-191.00000000000000000000,0.23660000000000000000,0.00000000000000000000,-0.00459004000000000000,0.00000000000000000000,-0.00459004000000000000,43.59763738000000000000,OPEN,2025-07-01 10:44:51
USDT,SANDUSDT,TRADE,SELL,94.00000000000000000000,-94.00000000000000000000,0.23530000000000000000,0.00000000000000000000,-0.00442364000000000000,0.00000000000000000000,-0.00442364000000000000,43.60222742000000000000,OPEN,2025-07-01 10:44:51
USDT,SANDUSDT,TRADE,BUY,94.00000000000000000000,0.00000000000000000000,0.23300000000000000000,0.00000000000000000000,-0.01204610000000000000,-0.04700000000000000000,-0.05904610000000000000,43.60665106000000000000,CLOSE,2025-07-01 10:44:50
